id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_right,fixed,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,previous,face,whole_roi,1,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,weighted_three_regions,1,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,forehead,1,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_left,1,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_right,1,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,previous,face,whole_roi,3,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,weighted_three_regions,3,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,forehead,3,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_left,3,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_right,3,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,previous,face,whole_roi,6,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,weighted_three_regions,6,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,forehead,6,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_left,6,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_right,6,0.043994124978780746,0.8835044503211975,,0.010177900083363056
SPB-r2-s1,SPB,2,1,S,S,original,face,whole_roi,fixed,0.015962159261107445,0.9095118641853333,0.02529703639447689,
SPB-r2-s1,SPB,2,1,S,S,original,skin,weighted_three_regions,fixed,0.013257977515459062,0.8598566845036002,,0.01116155173191253
SPB-r2-s1,SPB,2,1,S,S,original,skin,forehead,fixed,0.013147793710231781,0.8371780514717102,,0.01178305596113205
SPB-r2-s1,SPB,2,1,S,S,original,skin,cheek_viewer_left,fixed,0.014372169971466064,0.8954563736915588,,0.010733695700764656
